id_tabungan,counter_tabungan,tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,status,jarak_hari_nabung,persentase_terkumpul
TAB-0008,3,2024-05-29,Modal Nikah/Tunangan,7160000,9964618,29625917,67884083,Belum Selesai,14,413.77
TAB-0008,4,2024-06-26,Modal Nikah/Tunangan,97510000,9622783,39248700,58261300,Belum Selesai,28,40.25
TAB-0008,5,2024-07-18,Modal Nikah/Tunangan,97510000,9359374,48608074,48901926,Belum Selesai,22,49.85
TAB-0008,6,2024-08-10,Modal Nikah/Tunangan,97510000,9884578,58492652,39017348,Belum Selesai,23,59.99
TAB-0008,7,2024-08-23,Modal Nikah/Tunangan,97510000,11013145,69505797,28004203,Belum Selesai,13,71.28
TAB-0008,8,2024-09-25,Modal Nikah/Tunangan,97510000,9957847,89443199,8066801,Belum Selesai,33,91.73
TAB-0008,9,2024-10-22,Modal Nikah/Tunangan,97510000,8066801,97510000,0,Selesai,27,100.0
TAB-0009,1,2024-09-06,Modal Nikah/Tunangan,85960000,8487325,8487325,77472675,Belum Selesai,0,9.87
TAB-0009,2,2024-09-23,Modal Nikah/Tunangan,85960000,7408261,15895586,70064414,Belum Selesai,17,18.49
TAB-0009,3,2024-10-13,Modal Nikah/Tunangan,85960000,7914185,23809771,62150229,Belum Selesai,20,27.7
TAB-0009,4,2024-10-23,Modal Nikah/Tunangan,85960000,9595903,33405674,52554326,Belum Selesai,10,38.86
TAB-0009,5,2024-11-18,Modal Nikah/Tunangan,85960000,8193620,41599294,44360706,Belum Selesai,26,48.39
TAB-0009,6,2024-11-26,Modal Nikah/Tunangan,85960000,9341687,50940981,35019019,Belum Selesai,8,59.26
TAB-0010,1,2020-08-30,Dana Darurat,15920000,1664832,1664832,14255168,Belum Selesai,0,10.46
TAB-0010,2,2020-10-01,Dana Darurat,15920000,1367342,4563033,11356967,Belum Selesai,32,28.66
TAB-0010,3,2020-10-09,Dana Darurat,15920000,1530859,3195691,12724309,Belum Selesai,8,20.07
TAB-0010,4,2020-10-16,Dana Darurat,15920000,1551669,6114702,9805298,Belum Selesai,7,38.41
TAB-0010,5,2020-11-16,Dana Darurat,15920000,1839605,7954307,7965693,Belum Selesai,31,49.96
TAB-0010,6,2020-11-28,Dana Darurat,15920000,1407349,9361656,6558344,Belum Selesai,12,58.8
TAB-0010,7,2020-12-07,Dana Darurat,15920000,1607956,10969612,4950388,Belum Selesai,9,68.9
TAB-0010,8,2020-12-25,Dana Darurat,15920000,1576069,12545681,3374319,Belum Selesai,18,78.8
TAB-0010,9,2021-01-06,Dana Darurat,15920000,1291754,13837435,2082565,Belum Selesai,12,86.92
TAB-0010,10,2021-02-03,Dana Darurat,15920000,1635503,15472938,447062,Belum Selesai,28,97.19
TAB-0010,11,2021-02-26,Dana Darurat,15920000,447062,15920000,0,Selesai,23,100.0
TAB-0011,1,2022-03-03,Beli Ipad/Tablet Nugas,7810000,1696558,1696558,6113442,Belum Selesai,0,21.72
TAB-0011,2,2022-03-25,Beli Ipad/Tablet Nugas,7810000,1531118,3227676,4582324,Belum Selesai,22,41.33
TAB-0011,3,2022-04-23,Beli Ipad/Tablet Nugas,7810000,1597140,4824816,2985184,Belum Selesai,29,61.78
TAB-0011,4,2022-06-24,Beli Ipad/Tablet Nugas,7810000,1298595,7810000,0,Selesai,62,100.0
TAB-0012,1,2021-10-10,Modif Motor/Ganti Knalpot,2200000,89963,89963,2110037,Belum Selesai,0,4.09
TAB-0012,2,2021-10-29,Modif Motor/Ganti Knalpot,2200000,85219,175182,2024818,Belum Selesai,19,7.96
TAB-0012,3,2021-11-25,Modif Motor/Ganti Knalpot,2200000,94630,390466,1809534,Belum Selesai,27,17.75
TAB-0012,4,2021-12-14,Modif Motor/Ganti Knalpot,2200000,90218,480684,1719316,Belum Selesai,19,21.85
TAB-0012,5,2022-01-07,Modif Motor/Ganti Knalpot,2200000,92260,572944,1627056,Belum Selesai,24,26.04
TAB-0012,6,2022-01-18,Modif Motor/Ganti Knalpot,2200000,106704,679648,1520352,Belum Selesai,11,30.89
TAB-0012,7,2022-02-04,Modif Motor/Ganti Knalpot,2200000,105077,784725,1415275,Belum Selesai,17,35.67
TAB-0012,8,2022-02-26,Modif Motor/Ganti Knalpot,2200000,117097,901822,1298178,Belum Selesai,22,40.99
TAB-0012,9,2022-03-17,Modif Motor/Ganti Knalpot,220000000,107641,1009463,1190537,Belum Selesai,19,0.46
TAB-0012,10,2022-03-29,Modif Motor/Ganti Knalpot,2200000,109363,1118826,1081174,Belum Selesai,12,50.86
TAB-0012,11,2022-04-29,Modif Motor/Ganti Knalpot,2200000,109559,1228385,971615,Belum Selesai,31,55.84
TAB-0012,12,2022-05-24,Modif Motor/Ganti Knalpot,2200000,102157,1330542,869458,Belum Selesai,25,60.48
TAB-0012,13,2022-06-08,Modif Motor/Ganti Knalpot,2200000,83477,1414019,785981,Belum Selesai,15,64.27
TAB-0012,14,2022-06-23,Modif Motor/Ganti Knalpot,2200000,95636,1509655,690345,Belum Selesai,15,68.62
TAB-0012,15,2022-07-03,Modif Motor/Ganti Knalpot,2200000,97374,1607029,592971,Belum Selesai,10,73.05
TAB-0012,16,2022-07-21,Modif Motor/Ganti Knalpot,2200000,96688,1703717,496283,Belum Selesai,18,77.44
TAB-0012,17,2022-08-10,Modif Motor/Ganti Knalpot,2200000,123474,1827191,372809,Belum Selesai,20,83.05
TAB-0012,18,2022-10-03,Modif Motor/Ganti Knalpot,2200000,106188,2012385,187615,Belum Selesai,54,91.47
TAB-0012,19,2022-10-09,Modif Motor/Ganti Knalpot,2200000,79006,1906197,293803,Belum Selesai,6,86.65
TAB-0012,20,2022-10-20,Modif Motor/Ganti Knalpot,2200000,111643,2124028,75972,Belum Selesai,11,96.55
TAB-0012,21,2022-11-11,Modif Motor/Ganti Knalpot,2200000,75972,2200000,0,Selesai,22,100.0
TAB-0013,1,2022-03-29,Liburan Ke Bali/Jogja,5060000,56888,56888,5003112,Belum Selesai,0,1.12
TAB-0013,2,2022-04-13,Liburan Ke Bali/Jogja,5060000,51214,108102,4951898,Belum Selesai,15,2.14
TAB-0013,3,2022-04-29,Liburan Ke Bali/Jogja,5060000,60507,168609,4891391,Belum Selesai,16,3.33
TAB-0013,4,2022-05-23,Liburan Ke Bali/Jogja,5060000,51603,220212,4839788,Belum Selesai,24,4.35
TAB-0013,5,2022-06-14,Liburan Ke Bali/Jogja,5060000,49441,269653,4790347,Belum Selesai,22,5.33
TAB-0013,6,2022-07-04,Liburan Ke Bali/Jogja,5060000,68901,338554,4721446,Belum Selesai,20,6.69
TAB-0013,7,2022-07-15,Liburan Ke Bali/Jogja,5060000,54803,393357,4666643,Belum Selesai,11,7.77
TAB-0014,1,2024-12-30,Modal Nikah/Tunangan,45570000,4080558,4080558,41489442,Belum Selesai,0,8.95
TAB-0014,2,2025-01-09,Modal Nikah/Tunangan,45570000,4667848,8748406,36821594,Belum Selesai,10,19.2
TAB-0014,3,2025-01-26,Modal Nikah/Tunangan,45570000,4387064,13135470,32434530,Belum Selesai,17,28.82
TAB-0014,4,2025-02-26,Modal Nikah/Tunangan,45570000,4388004,17523474,28046526,Belum Selesai,31,38.45
TAB-0014,5,2025-03-11,Modal Nikah/Tunangan,45570000,5411318,22934792,22635208,Belum Selesai,13,50.33
TAB-0014,6,2025-03-18,Modal Nikah/Tunangan,45570000,5222880,28157672,17412328,Belum Selesai,7,61.79
TAB-0014,7,2025-04-16,Modal Nikah/Tunangan,45570000,4425746,32583418,12986582,Belum Selesai,29,71.5
TAB-0014,8,2025-05-06,Modal Nikah/Tunangan,45570000,4053000,41286618,4283382,Belum Selesai,20,90.6
TAB-0014,9,2025-05-12,Modal Nikah/Tunangan,45570000,4649583,37233001,8336999,Belum Selesai,6,81.71
TAB-0014,10,2025-06-22,Modal Nikah/Tunangan,45570000,4283382,45570000,0,Selesai,41,100.0
TAB-0015,1,2022-06-04,Modal Nikah/Tunangan,24510000,2107642,2107642,22402358,Belum Selesai,0,8.6
TAB-0015,2,2022-06-25,Modal Nikah/Tunangan,24510000,2008268,4115910,20394090,Belum Selesai,21,16.79
TAB-0015,3,2022-07-04,Modal Nikah/Tunangan,24510000,2196098,6312008,18197992,Belum Selesai,9,25.75
TAB-0015,4,2022-08-02,Modal Nikah/Tunangan,24510000,2414254,8726262,15783738,Belum Selesai,29,35.6
TAB-0015,5,2022-08-23,Modal Nikah/Tunangan,24510000,2599143,11325405,13184595,Belum Selesai,21,46.21
TAB-0015,6,2022-09-22,Modal Nikah/Tunangan,24510000,2170105,13495510,11014490,Belum Selesai,30,55.06
TAB-0015,7,2022-10-08,Modal Nikah/Tunangan,24510000,2081467,15576977,8933023,Belum Selesai,16,63.55
TAB-0015,8,2022-10-28,Modal Nikah/Tunangan,24510000,2098889,17675866,6834134,Belum Selesai,20,72.12
TAB-0015,9,2022-11-28,Modal Nikah/Tunangan,24510000,2798374,20474240,4035760,Belum Selesai,31,83.53
TAB-0015,10,2022-12-21,Modal Nikah/Tunangan,24510000,2670608,23144848,1365152,Belum Selesai,23,94.43
TAB-0015,11,2023-01-14,Modal Nikah/Tunangan,24510000,1365152,24510000,0,Selesai,24,100.0
TAB-0016,1,2020-07-17,Beli Hewan Qurban,3660000,1362919,1362919,2297081,Belum Selesai,0,37.24
TAB-0016,2,2020-07-29,Beli Hewan Qurban,3660000,1460417,2823336,836664,Belum Selesai,12,77.14
TAB-0017,1,2024-11-18,Modal Nikah/Tunangan,87840000,7940650,7940650,79899350,Belum Selesai,0,9.04
TAB-0017,2,2024-12-02,Modal Nikah/Tunangan,87840000,8068438,16009088,71830912,Belum Selesai,14,18.23
TAB-0017,3,2024-12-15,Modal Nikah/Tunangan,87840000,6849475,22858563,64981437,Belum Selesai,13,26.02
TAB-0018,1,2020-03-22,Dana Darurat,16270000,1770545,1770545,14499455,Belum Selesai,0,10.88
TAB-0018,2,2020-03-30,Dana Darurat,16270000,1574427,3344972,12925028,Belum Selesai,8,20.56
TAB-0018,3,2020-04-23,Dana Darurat,16270000,1718000,5063190,11206810,Belum Selesai,24,31.12
TAB-0018,4,2020-05-23,Dana Darurat,16270000,1808367,6871557,9398443,Belum Selesai,30,42.23
TAB-0018,5,2020-06-17,Dana Darurat,16270000,1574616,8446173,7823827,Belum Selesai,25,51.91
TAB-0018,6,2020-07-11,Dana Darurat,16270000,1319428,9765601,6504399,Belum Selesai,24,60.02
TAB-0018,7,2020-07-28,Dana Darurat,16270000,1397928,11163529,5106471,Belum Selesai,17,68.61
TAB-0018,8,2020-08-16,Dana Darurat,16270000,1579827,12743356,3526644,Belum Selesai,19,78.32
TAB-0018,9,2020-09-10,Dana Darurat,16270000,1525020,14268376,2001624,Belum Selesai,25,87.7
TAB-0018,10,2020-09-22,Dana Darurat,16270000,1265487,15533863,736137,Belum Selesai,12,95.48
TAB-0018,11,2020-09-29,Dana Darurat,16270000,736137,16270000,0,Selesai,7,100.0
TAB-0019,1,2022-03-16,Modal Skripsi & Jilid,2020000,131737,131737,1888263,Belum Selesai,0,6.52
TAB-0019,2,2022-04-03,Modal Skripsi & Jilid,2020000,173034,304771,1715229,Belum Selesai,18,15.09
TAB-0019,3,2022-04-22,Modal Skripsi & Jilid,2020000,167533,472304,1547696,Belum Selesai,19,23.38
TAB-0019,4,2022-05-16,Modal Skripsi & Jilid,2020000,153285,625589,1394411,Belum Selesai,24,30.97
TAB-0019,5,2022-06-11,Modal Skripsi & Jilid,2020000,159000,784862,1235138,Belum Selesai,26,38.85
TAB-0019,6,2022-07-03,Modal Skripsi & Jilid,2020000,132659,1053562,966438,Belum Selesai,22,52.16
TAB-0019,7,2022-07-10,Modal Skripsi & Jilid,2020000,156707,1210269,809731,Belum Selesai,7,59.91
TAB-0019,8,2022-08-08,Modal Skripsi & Jilid,2020000,164992,1375261,644739,Belum Selesai,29,68.08
TAB-0019,9,2022-08-16,Modal Skripsi & Jilid,2020000,151361,1526622,493378,Belum Selesai,8,75.58
TAB-0019,10,2022-08-26,Modal Skripsi & Jilid,2020000,155413,1682035,337965,Belum Selesai,10,83.27
TAB-0019,11,2022-10-06,Modal Skripsi & Jilid,2020000,155791,1986362,33638,Belum Selesai,41,98.33
TAB-0019,12,2022-10-14,Modal Skripsi & Jilid,2020000,33638,2020000,0,Selesai,8,100.0
TAB-0020,1,2020-05-05,Bayar Kosan Tahunan,13240000,1398686,1398686,11841314,Belum Selesai,0,10.56
TAB-0020,2,2020-05-19,Bayar Kosan Tahunan,13240000,1394093,2792779,10447221,Belum Selesai,14,21.09
TAB-0020,3,2020-06-08,Bayar Kosan Tahunan,13240000,1373000,4166351,9073649,Belum Selesai,20,31.47
TAB-0020,4,2020-06-16,Bayar Kosan Tahunan,13240000,1293363,5459714,7780286,Belum Selesai,8,41.24
TAB-0020,5,2020-07-13,Bayar Kosan Tahunan,13240000,1622491,7082205,6157795,Belum Selesai,27,53.49
TAB-0020,6,2020-07-27,Bayar Kosan Tahunan,13240000,1549113,8631318,4608682,Belum Selesai,14,65.19
TAB-0020,7,2020-08-14,Bayar Kosan Tahunan,13240000,1477080,10108398,3131602,Belum Selesai,18,76.35
TAB-0020,8,2020-08-23,Bayar Kosan Tahunan,13240000,1245110,11353508,1886492,Belum Selesai,9,85.75
TAB-0020,9,2020-09-20,Bayar Kosan Tahunan,13240000,1368017,12721525,518475,Belum Selesai,28,96.08
TAB-0021,1,2021-10-21,Liburan Ke Bali/Jogja,255000000,279576,279576,2270424,Belum Selesai,0,0.11
TAB-0021,2,2021-10-28,Liburan Ke Bali/Jogja,2550000,263490,543066,2006934,Belum Selesai,7,21.3
TAB-0021,3,2021-11-17,Liburan Ke Bali/Jogja,2550000,318590,861656,1688344,Belum Selesai,20,33.79
TAB-0021,4,2021-11-26,Liburan Ke Bali/Jogja,2550000,248000,1109790,1440210,Belum Selesai,9,43.52
TAB-0021,5,2021-12-14,Liburan Ke Bali/Jogja,2550000,218889,1328679,1221321,Belum Selesai,18,52.11
TAB-0021,6,2021-12-25,Liburan Ke Bali/Jogja,255000000,274639,1603318,946682,Belum Selesai,11,0.63
TAB-0021,7,2022-01-05,Liburan Ke Bali/Jogja,2550000,291751,1895069,654931,Belum Selesai,11,74.32
TAB-0021,8,2022-01-13,Liburan Ke Bali/Jogja,2550000,254372,2149441,400559,Belum Selesai,8,84.29
TAB-0021,9,2022-02-01,Liburan Ke Bali/Jogja,2550000,294456,2443897,106103,Belum Selesai,19,95.84
TAB-0021,10,2022-02-09,Liburan Ke Bali/Jogja,2550000,106103,2550000,0,Selesai,8,100.0
TAB-0022,1,2020-11-26,Sewa Server/Vps Tahunan,1740000,54778,54778,1685222,Belum Selesai,0,3.15
TAB-0022,2,2020-12-12,Sewa Server/Vps Tahunan,1740000,58577,113355,1626645,Belum Selesai,16,6.51
TAB-0022,3,2021-01-05,Sewa Server/Vps Tahunan,1740000,64865,178220,1561780,Belum Selesai,24,10.24
TAB-0022,4,2021-02-03,Sewa Server/Vps Tahunan,1740000,59241,237461,1502539,Belum Selesai,29,13.65
TAB-0022,5,2021-02-16,Sewa Server/Vps Tahunan,1740000,63317,300778,1439222,Belum Selesai,13,17.29
TAB-0022,6,2021-03-08,Sewa Server/Vps Tahunan,1740000,57968,358746,1381254,Belum Selesai,20,20.62
TAB-0022,7,2021-04-25,Sewa Server/Vps Tahunan,1740000,52668,473937,1266063,Belum Selesai,48,27.24
TAB-0022,8,2021-05-03,Sewa Server/Vps Tahunan,1740000,66000,540162,1199838,Belum Selesai,8,31.04
TAB-0022,9,2021-05-24,Sewa Server/Vps Tahunan,1740000,48619,588781,1151219,Belum Selesai,21,33.84
TAB-0022,10,2021-06-04,Sewa Server/Vps Tahunan,1740000,62523,421269,1318731,Belum Selesai,11,24.21
TAB-0022,11,2021-06-19,Sewa Server/Vps Tahunan,1740000,52075,640856,1099144,Belum Selesai,15,36.83
TAB-0022,12,2021-07-15,Sewa Server/Vps Tahunan,1740000,59279,700135,1039865,Belum Selesai,26,40.24
TAB-0022,13,2021-08-11,Sewa Server/Vps Tahunan,1740000,82898,783033,956967,Belum Selesai,27,45.0
TAB-0022,14,2021-09-08,Sewa Server/Vps Tahunan,1740000,50509,833542,906458,Belum Selesai,28,47.9
TAB-0022,15,2021-09-20,Sewa Server/Vps Tahunan,174000000,58928,892470,847530,Belum Selesai,12,0.51
TAB-0022,16,2021-10-05,Sewa Server/Vps Tahunan,1740000,57907,950377,789623,Belum Selesai,15,54.62
TAB-0022,17,2021-10-25,Sewa Server/Vps Tahunan,1740000,62816,1013193,726807,Belum Selesai,20,58.23
TAB-0022,18,2021-11-06,Sewa Server/Vps Tahunan,1740000,57030,1070223,669777,Belum Selesai,12,61.51
TAB-0022,19,2021-11-19,Sewa Server/Vps Tahunan,1740000,63776,1133999,606001,Belum Selesai,13,65.17
TAB-0022,20,2021-12-04,Sewa Server/Vps Tahunan,1740000,69400,1203399,536601,Belum Selesai,15,69.16
TAB-0022,21,2021-12-24,Sewa Server/Vps Tahunan,1740000,69072,1272471,467529,Belum Selesai,20,73.13
TAB-0022,22,2022-01-17,Sewa Server/Vps Tahunan,1740000,57786,1330257,409743,Belum Selesai,24,76.45
TAB-0022,23,2022-02-02,Sewa Server/Vps Tahunan,1740000,70539,1400796,339204,Belum Selesai,16,80.51
TAB-0022,24,2022-02-28,Sewa Server/Vps Tahunan,1740000,54097,1454893,285107,Belum Selesai,26,83.61
TAB-0022,25,2022-03-14,Sewa Server/Vps Tahunan,1740000,59662,1514555,225445,Belum Selesai,14,87.04
TAB-0022,26,2022-04-10,Sewa Server/Vps Tahunan,1740000,53198,1567753,172247,Belum Selesai,27,90.1
TAB-0022,27,2022-04-29,Sewa Server/Vps Tahunan,1740000,53514,1621267,118733,Belum Selesai,19,93.18
TAB-0022,28,2022-05-26,Sewa Server/Vps Tahunan,1740000,56359,1677626,62374,Belum Selesai,27,96.42
TAB-0022,29,2022-06-04,Sewa Server/Vps Tahunan,1740000,62374,1740000,0,Selesai,9,100.0
TAB-0023,1,2022-02-02,Naik Gunung (Semeru/Rinjani),1920000,1403000,1403356,516644,Belum Selesai,0,73.09
TAB-0023,2,2022-02-12,Naik Gunung (Semeru/Rinjani),1920000,516644,1920000,0,Selesai,10,100.0
TAB-0024,1,2024-11-30,Tanpa Nama,85960000,8296241,8296241,77663759,Belum Selesai,0,9.65
TAB-0024,2,2024-12-18,Tanpa Nama,85960000,7774694,16070935,69889065,Belum Selesai,18,18.7
TAB-0024,3,2024-12-27,Tanpa Nama,85960000,6973379,23044314,62915686,Belum Selesai,9,26.81
TAB-0024,4,2025-01-14,Tanpa Nama,85960000,9041875,32086189,53873811,Belum Selesai,18,37.33
TAB-0024,5,2025-02-10,Tanpa Nama,85960000,7801981,39888170,46071830,Belum Selesai,27,46.4
TAB-0024,6,2025-03-13,Tanpa Nama,85960000,9571230,49459400,36500600,Belum Selesai,31,57.54
TAB-0024,7,2025-04-02,Tanpa Nama,85960000,9157900,58617300,27342700,Belum Selesai,20,68.19
TAB-0024,8,2025-04-24,Tanpa Nama,85960000,9181532,67798832,18161168,Belum Selesai,22,78.87
TAB-0024,9,2025-05-03,Tanpa Nama,85960000,9611465,77410297,8549703,Belum Selesai,9,90.05
TAB-0025,1,2021-08-17,Modal Nikah/Tunangan,85780000,8618739,8618739,77161261,Belum Selesai,0,10.05
TAB-0025,2,2021-08-30,Modal Nikah/Tunangan,85780000,6513343,15132082,70647918,Belum Selesai,13,17.64
TAB-0025,3,2021-09-20,Modal Nikah/Tunangan,85780000,9176193,24308275,61471725,Belum Selesai,21,28.34
TAB-0025,4,2021-10-04,Modal Nikah/Tunangan,85780000,9814348,34122623,51657377,Belum Selesai,14,39.78
TAB-0026,1,2020-09-29,Modal Skripsi & Jilid,2100000,66802,66802,2033198,Belum Selesai,0,3.18
TAB-0026,2,2020-10-26,Modal Skripsi & Jilid,2100000,53102,119904,1980096,Belum Selesai,27,5.71
TAB-0026,3,2020-11-25,Modal Skripsi & Jilid,2100000,55811,175715,1924285,Belum Selesai,30,8.37
TAB-0026,4,2020-12-21,Modal Skripsi & Jilid,2100000,63367,239082,1860918,Belum Selesai,26,11.38
TAB-0026,5,2020-12-28,Modal Skripsi & Jilid,2100000,69598,308680,1791320,Belum Selesai,7,14.7
TAB-0026,6,2021-01-27,Modal Skripsi & Jilid,2100000,59796,431082,1668918,Belum Selesai,30,20.53
TAB-0026,7,2021-02-21,Modal Skripsi & Jilid,2100000,58476,489558,1610442,Belum Selesai,25,23.31
TAB-0026,8,2021-03-09,Modal Skripsi & Jilid,2100000,53000,543177,1556823,Belum Selesai,16,25.87
TAB-0026,9,2021-03-25,Modal Skripsi & Jilid,2100000,55217,598394,1501606,Belum Selesai,16,28.49
TAB-0026,10,2021-04-20,Modal Skripsi & Jilid,2100000,59000,657543,1442457,Belum Selesai,26,31.31
TAB-0026,11,2021-05-05,Modal Skripsi & Jilid,2100000,62967,720510,1379490,Belum Selesai,15,34.31
TAB-0026,12,2021-05-13,Modal Skripsi & Jilid,2100000,61151,781661,1318339,Belum Selesai,8,37.22
TAB-0026,13,2021-06-12,Modal Skripsi & Jilid,2100000,60407,842068,1257932,Belum Selesai,30,40.1
